Name;URL;Author;Price;Number of Ratings;Average Ratings
The Psychology of Money;https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268?_encoding=UTF8&psc=1;Morgan Housel;₹ 262.00;7,010;4.5 out of 5 stars
Ikigai: The Japanese secret to a long and happy life;https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X?_encoding=UTF8&psc=1;Héctor García;₹ 299.00;11,490;4.6 out of 5 stars
Indian Polity - For Civil Services and Other State Examinations | 6th Edition;https://www.amazon.in/Indian-Polity-Civil-Services-Examinations/dp/B07Y3CJJCR?_encoding=UTF8&psc=1;M. Laxmikanth;₹ 585.00;6,859;4.6 out of 5 stars
My First Library: Boxset of 10 Board Books for Kids;https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262?_encoding=UTF8&psc=1;Wonder House Books;₹ 449.00;18,936;4.5 out of 5 stars
Mathematics for Class 10 by R D Sharma (Examination 2021-22);https://www.amazon.in/Mathematics-Class-Sharma-Examination-2020-2021/dp/8194192641?_encoding=UTF8&psc=1;Not available;₹ 545.00;990;4.5 out of 5 stars
Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty;https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623?_encoding=UTF8&psc=1;Not available;₹ 191.00;4,151;4.6 out of 5 stars
Quantitative Aptitude for Competitive Examinations;https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026?_encoding=UTF8&psc=1;R S Aggarwal;₹ 408.00;9,754;4.4 out of 5 stars
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing);https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319?_encoding=UTF8&psc=1;Wonder House Books;₹ 89.00;4,104;4.5 out of 5 stars
The Alchemist;https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988?_encoding=UTF8&psc=1;Paulo Coelho;₹ 175.00;48,339;4.6 out of 5 stars
Very First Sight Words Sentences Level - 1;https://www.amazon.in/First-Sight-Words-Sentences-Level/dp/9387971996?_encoding=UTF8&psc=1&smid=AT95IG9ONZD7S;Dreamland Publications;₹ 108.00;2,364;4.5 out of 5 stars
Mathematics for Class 9 by R D Sharma (Examination 2021-22);https://www.amazon.in/Mathematics-Class-Sharma-Examination-2020-2021/dp/8194192668?_encoding=UTF8&psc=1;Not available;₹ 377.00;673;4.6 out of 5 stars
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!;https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194?_encoding=UTF8&psc=1;Robert T. Kiyosaki;₹ 378.00;37,588;4.6 out of 5 stars
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition;https://www.amazon.in/Years-Prelims-Topic-wise-Solved-Papers/dp/8194815010?_encoding=UTF8&psc=1;Mrunal Patel;₹ 320.00;1,064;4.5 out of 5 stars
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set;https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014?_encoding=UTF8&psc=1;Not available;₹ 319.00;4,520;4.5 out of 5 stars
General Knowledge;https://www.amazon.in/General-Knowledge-Dr-Binay-Karna/dp/9384761540?_encoding=UTF8&psc=1;Not available;₹ 170.00;9,586;4.4 out of 5 stars
Spoken English Course (Telugu);https://www.amazon.in/Spoken-English-Course-Telugu-Vashista/dp/B08W1SNNLP?_encoding=UTF8&psc=1;Not available;₹ 397.00;866;4.5 out of 5 stars
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life;https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295?_encoding=UTF8&psc=1;Gaur Gopal Das;₹ 175.00;6,409;4.6 out of 5 stars
The Power of Your Subconscious Mind;https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666?_encoding=UTF8&psc=1;Joseph Murphy;₹ 109.00;27,945;4.5 out of 5 stars
Reasoning Book With Piyush Varshney (English Medium);https://www.amazon.in/Reasoning-Piyush-Varshney-English-Medium/dp/B08Y8RLL9N?_encoding=UTF8&psc=1;Not available;Not available;19;4.7 out of 5 stars
101 Panchatantra Stories for Children: Colourful Illustrated Stories;https://www.amazon.in/101-Panchatantra-Stories-Children-Illustrated/dp/935376517X?_encoding=UTF8&psc=1;Om Books Editorial Team;₹ 135.00;637;4.5 out of 5 stars
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology;https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-NEET-AIIMS/dp/9389971241?_encoding=UTF8&psc=1;Not available;₹ 561.00;941;4.7 out of 5 stars
